Your age,Gender,Frequency of using ride sharing,Waiting time for a ride,"Distance travelled

", Driver's rating,Cleanliness of vehicle, Ease of booking ,Cost of Ride ,Time of day,"Ride-Sharing Service Rating:
"
19,Male,Rarely,11-20 minutes,21-30 km,4,Often,Very easy,Neutral,Afternoon,4
29,Male,Occasionally,5-10 minutes,2-7 km,4,Often,Very easy,Expensive,Evening,4
19,Male,Rarely,Less than 5 minutes,more than 30 km,4,Always,Easy,Neutral,Afternoon,4
34,Female,Monthly,5-10 minutes,more than 30 km,4,Always,Very easy,Affordable,Morning,5
25,Female,Rarely,5-10 minutes,7-15 km,3,Often,Easy,Neutral,Evening,4
21,Female,Rarely,5-10 minutes,7-15 km,3,Always,Very easy,Neutral,Afternoon,4
21,Male,Monthly,11-20 minutes,7-15 km,4,Always,Very easy,Neutral,Evening,4
20,Male,Occasionally,11-20 minutes,15-21 km,4,Often,Neutral,Affordable,Afternoon,4
21,Male,Rarely,Less than 5 minutes,7-15 km,3,Sometimes,Neutral,Neutral,Evening,3
20,Female,Occasionally,5-10 minutes,15-21 km,4,Sometimes,Neutral,Neutral,Afternoon,4
21,Female,Occasionally,11-20 minutes,7-15 km,3,Often,Easy,Neutral,Afternoon,4
21,Female,Rarely,11-20 minutes,15-21 km,5,Often,Easy,Neutral,Afternoon,4
21,Female,Rarely,5-10 minutes,7-15 km,4,Always,Easy,Expensive,Morning,3
21,Female,Occasionally,5-10 minutes,15-21 km,4,Always,Very easy,Neutral,Evening,4
20,Female,Rarely,11-20 minutes,15-21 km,4,Often,Easy,Affordable,Morning,4
21,Male,Rarely,21-30 minutes,15-21 km,3,Sometimes,Neutral,Neutral,Evening,3
21,Male,Rarely,21-30 minutes,21-30 km,3,Often,Easy,Neutral,Evening,3
20,Male,Rarely,5-10 minutes,2-7 km,4,Often,Very easy,Neutral,Evening,4
21,Male,Rarely,21-30 minutes,15-21 km,5,Always,Easy,Neutral,Morning,3
23,Male,Occasionally,5-10 minutes,7-15 km,4,Sometimes,Very easy,Affordable,Evening,4
21,Female,Occasionally,11-20 minutes,7-15 km,5,Sometimes,Easy,Neutral,Afternoon,5
21,Female,Occasionally,5-10 minutes,7-15 km,4,Sometimes,Very easy,Neutral,Afternoon,3
20,Male,Rarely,11-20 minutes,7-15 km,4,Always,Neutral,Neutral,Morning,3
21,Male,Occasionally,5-10 minutes,2-7 km,5,Often,Neutral,Affordable,Evening,3
20,Female,Occasionally,5-10 minutes,7-15 km,3,Always,Neutral,Neutral,Evening,3
22,Male,Rarely,5-10 minutes,15-21 km,3,Sometimes,Neutral,Neutral,Afternoon,3
18,Female,Rarely,Less than 5 minutes,7-15 km,3,Rarely,Easy,Affordable,Morning,3
21,Female,Rarely,11-20 minutes,7-15 km,4,Always,Easy,Neutral,Evening,4
22,Male,Occasionally,11-20 minutes,15-21 km,3,Sometimes,Easy,Neutral,Night,3
21,Male,Monthly,5-10 minutes,2-7 km,4,Often,Neutral,Neutral,Evening,4
22,Female,Rarely,Less than 5 minutes,2-7 km,1,Always,Very easy,Very affordable,Afternoon,5
21,Male,Occasionally,11-20 minutes,21-30 km,5,Often,Easy,Expensive,Afternoon,3
20,Female,Occasionally,5-10 minutes,7-15 km,4,Always,Very easy,Affordable,Afternoon,5
24,Female,Rarely,21-30 minutes,7-15 km,4,Often,Easy,Affordable,Afternoon,3
20,Male,Occasionally,5-10 minutes,2-7 km,4,Sometimes,Very easy,Affordable,Morning,5
20,Female,Occasionally,5-10 minutes,21-30 km,3,Always,Easy,Neutral,Morning,2
21,Male,Rarely,11-20 minutes,15-21 km,2,Always,Neutral,Neutral,Afternoon,4
